valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,type_local
305000.0,90,4,maison
675200.0,100,5,maison
255790.0,46,2,maison
244000.0,77,3,maison
225000.0,67,3,maison
236000.0,52,3,appartement
246000.0,83,4,maison
133000.0,61,2,maison
45000.0,16,1,appartement
211010.0,35,2,appartement
176190.0,29,2,appartement
375000.0,100,4,maison
945000.0,120,5,maison
591500.0,130,6,maison
287000.0,110,6,maison
385000.0,68,3,appartement
222800.0,60,2,appartement
150000.0,25,1,appartement
65000.0,29,2,appartement
268000.0,75,3,maison
227000.0,60,3,appartement
203000.0,36,2,appartement
283500.0,52,3,maison
660000.0,105,4,appartement
282600.0,95,6,maison
461000.0,64,3,appartement
163800.0,32,2,appartement
327000.0,82,4,appartement
99000.0,18,1,appartement
246000.0,84,4,maison
191000.0,89,5,appartement
156000.0,71,4,appartement
230000.0,34,2,appartement
443000.0,100,5,maison
137000.0,20,1,appartement
813540.0,139,4,maison
460000.0,90,4,maison
150000.0,66,3,appartement
183000.0,30,2,maison
326650.0,56,2,appartement
260000.0,70,3,appartement
258500.0,51,3,appartement
591700.0,90,4,appartement
330000.0,54,3,maison
260000.0,78,3,maison
212000.0,84,3,maison
185000.0,52,3,appartement
385000.0,75,5,maison
160000.0,36,1,maison
419000.0,95,4,maison
195000.0,34,1,appartement
245000.0,68,3,maison
550000.0,74,3,maison
220000.0,52,3,appartement
154100.0,53,3,appartement
502000.0,123,4,maison
190000.0,57,3,appartement
357000.0,70,4,appartement
160000.0,30,1,appartement
388000.0,80,3,maison
800000.0,120,4,maison
692500.0,81,4,maison
358350.0,70,4,appartement
345100.0,85,5,maison
150000.0,24,1,appartement
389200.0,76,3,appartement
345000.0,66,3,appartement
200000.0,33,2,appartement
786000.0,120,5,maison
188000.0,26,2,appartement
322000.0,70,5,maison
185000.0,37,2,appartement
490000.0,79,4,appartement
315000.0,78,5,maison
445000.0,143,6,maison
377725.0,61,3,appartement
775000.0,72,4,maison
2077000.0,250,9,maison
402000.0,49,2,maison
1250000.0,110,6,maison
152000.0,48,2,appartement
277000.0,62,3,appartement
570000.0,156,5,maison
602380.0,140,5,maison
570000.0,83,4,maison
195000.0,41,2,appartement
261000.0,72,3,maison
112000.0,44,2,appartement
79000.0,22,1,appartement
192900.0,34,2,appartement
205000.0,100,2,maison
180000.0,63,3,appartement
320000.0,113,6,maison
125830.0,18,1,appartement
380000.0,70,3,maison
600000.0,105,4,maison
116000.0,51,3,appartement
201000.0,45,2,appartement
140000.0,37,2,appartement
213600.0,59,2,appartement
212000.0,49,2,appartement
199000.0,90,4,maison
315000.0,34,1,appartement
579000.0,86,3,maison
445000.0,63,2,appartement
175000.0,62,5,maison
305000.0,87,4,maison
195000.0,92,4,maison
480269.4700000001,60,3,appartement
850000.0,98,4,appartement
527110.06,60,3,appartement
310000.0,49,3,appartement
363610.0,102,5,maison
293000.0,48,3,appartement
235000.0,75,4,maison
307000.0,102,5,maison
300000.0,83,5,maison
330000.0,78,3,appartement
275000.0,60,3,maison
240000.0,93,5,maison
183000.0,83,4,appartement
165000.0,48,2,maison
164500.0,41,2,appartement
175000.0,46,2,maison
305000.0,80,4,maison
354000.0,135,6,maison
274000.0,36,2,maison
298500.0,49,3,appartement
208000.0,63,4,maison
486200.0,60,3,appartement
143800.0,20,1,appartement
521000.0,137,6,maison
432100.0,190,8,maison
330000.0,101,7,maison
380000.0,57,2,maison
191090.0,50,3,appartement
335610.0,85,4,maison
290000.0,65,4,maison
157600.0,32,2,appartement
385000.0,140,6,maison
257000.0,84,4,maison
240000.0,84,4,maison
177000.0,25,1,appartement
215000.0,53,3,maison
320000.0,90,4,maison
340000.0,64,4,maison
178000.0,79,4,appartement
280000.0,81,3,maison
132000.0,31,2,appartement
453350.0,129,4,maison
315000.0,42,2,maison
167000.0,64,4,appartement
250000.0,66,5,maison
241000.0,84,5,maison
215000.0,71,4,maison
157000.0,64,4,appartement
158000.0,55,3,appartement
202000.0,52,3,maison
130000.0,59,4,appartement
362000.0,134,6,maison
46000.0,19,1,appartement
279000.0,105,4,maison
130000.0,31,2,appartement
270000.0,60,3,appartement
182867.0,40,2,appartement
335000.0,85,4,maison
200000.0,49,2,appartement
233500.0,43,2,appartement
240000.0,32,2,maison
233000.0,27,2,appartement
76400.0,20,1,appartement
289000.0,64,3,maison
363000.0,135,6,maison
377600.0,125,5,appartement
265000.0,88,2,appartement
190000.0,34,2,appartement
360000.0,117,4,maison
260000.0,93,5,maison
177300.0,69,3,appartement
295000.0,116,5,maison
332000.0,76,4,maison
165000.0,67,4,appartement
260000.0,90,4,maison
232000.0,86,4,maison
196000.0,89,3,appartement
270000.0,69,4,maison
141000.0,65,2,appartement
306000.0,59,3,appartement
140000.0,42,2,appartement
359100.0,112,4,maison
298435.0000000001,129,6,maison
386000.0,123,6,maison
305000.0,105,6,maison
170000.0,61,4,appartement
570000.0,93,4,maison
175250.0,49,3,appartement
456530.0,147,5,maison
265000.0,80,4,maison
250000.0,35,2,maison
235000.0,76,4,maison
215000.0,80,4,maison
230000.0,55,3,maison
300000.0,58,3,maison
162000.0,61,3,appartement
350000.0,68,3,appartement
251150.0,57,3,appartement
235500.0,41,2,appartement
381500.0,120,5,maison
123000.0,56,2,appartement
260000.0,63,3,maison
626400.0,110,5,maison
388000.0,70,3,maison
200000.0,65,3,maison
340000.0,33,2,appartement
81000.0,16,1,appartement
784300.0,96,3,maison
177000.0,55,2,appartement
231900.0,105,5,maison
354600.0,104,5,maison
258000.0,43,2,appartement
240000.0,50,2,appartement
388000.0,105,5,appartement
727190.0000000001,267,9,maison
95000.0,24,2,appartement
222000.0,55,3,appartement
417100.0,109,6,maison
338000.0,113,5,maison
1410000.0,87,4,maison
277100.0,57,3,appartement
152220.0,49,2,appartement
245000.0,89,5,maison
442000.0,81,5,maison
320000.0,59,3,appartement
282000.0,87,4,maison
452000.0,127,7,maison
109000.0,24,2,appartement
495000.0,60,4,maison
330000.0,121,5,maison
117655.0,20,1,appartement
180000.0,70,3,maison
382000.0,67,3,maison
326000.0,65,3,appartement
339000.0,37,2,appartement
130000.0,58,4,maison
252000.0,56,4,maison
219000.0,68,4,maison
1000000.0,383,10,maison
435000.0,100,4,appartement
330000.0,78,4,maison
245239.95,55,3,maison
379000.0,44,2,appartement
230000.0,65,4,maison
318500.0,87,5,appartement
176000.0,62,4,appartement
273000.0,33,2,appartement
383265.0,100,4,maison
475000.0,61,4,maison
160000.0,80,4,maison
300000.0,118,6,maison
525000.0,90,4,maison
81000.0,12,1,appartement
238000.0,38,2,appartement
260000.0,67,3,appartement
200000.0,63,3,maison
325000.0,52,3,maison
95000.0,35,2,appartement
137500.0,18,2,appartement
260000.0,43,3,appartement
92000.0,16,2,appartement
300000.0,63,3,appartement
590000.0,135,7,maison
420000.0,114,5,maison
194000.0,50,2,appartement
519500.0,60,4,maison
164500.0,24,2,appartement
390000.0,68,3,maison
355000.0,78,3,maison
307000.0,55,3,appartement
442900.0,148,4,appartement
560000.0,78,4,appartement
468500.0,94,4,maison
180600.0,55,2,appartement
195000.0,39,2,appartement
356290.0,116,5,maison
382500.0,70,4,maison
1180000.0,262,9,maison
195000.0,96,5,maison
483000.0,68,3,appartement
180000.0,28,1,appartement
253900.0,87,4,maison
140000.0,43,2,appartement
148000.0,37,2,appartement
164000.0,55,4,maison
504100.0,135,5,maison
260400.0,34,2,appartement
210000.0,43,2,appartement
333000.0,120,5,maison
134500.0,54,2,maison
921000.0,87,4,appartement
271000.0,130,6,maison
275000.0,94,6,maison
70000.0,22,1,appartement
310000.0,88,4,maison
160000.0,38,1,appartement
170000.0,74,3,appartement
136600.0,61,3,appartement
512000.0,111,5,appartement
120000.0,53,3,appartement
230000.0,40,2,appartement
561500.0,75,3,appartement
129900.0,32,2,appartement
320000.0,127,6,maison
180000.0,30,2,appartement
124000.0,28,2,appartement
146000.0,49,3,appartement
1357000.0,236,8,maison
445000.0,93,5,maison
110000.0,44,2,appartement
430000.0,145,6,maison
270000.0,42,2,maison
120000.0,23,1,appartement
215000.0,81,4,maison
158000.0,35,3,appartement
90000.0,40,3,appartement
140000.0,32,2,appartement
250900.0,70,5,appartement
377300.0,93,5,maison
190000.0,36,2,appartement
204700.0,52,2,appartement
210000.0,62,3,appartement
470000.0,78,4,appartement
155000.0,50,2,appartement
83000.0,22,1,appartement
283000.0,63,4,appartement
212000.0,32,2,appartement
330100.0,67,3,appartement
590000.0,80,3,appartement
220000.0,49,2,maison
245000.0,88,5,maison
427000.0,102,5,maison
450000.0,53,3,appartement
375500.0,88,4,maison
504000.0,41,2,appartement
428350.0,56,2,appartement
190000.0,83,4,maison
300000.0,46,3,appartement
265000.0,80,4,maison
92000.0,20,1,appartement
260000.0,64,4,appartement
515500.0,193,6,maison
230000.0,82,5,maison
308000.0,56,4,maison
415000.0,63,3,maison
240000.0,115,5,maison
153000.0,47,2,appartement
304000.0,94,5,maison
115000.0,38,2,appartement
267000.0,75,5,maison
190084.5,80,3,maison
353500.0,104,4,maison
377000.0,120,4,maison
161600.0,52,2,maison
212292.0,52,2,appartement
200000.0,53,2,appartement
178000.0,48,3,maison
938400.0,73,3,maison
413460.0,67,3,maison
180000.0,60,4,maison
258200.0,23,2,appartement
118000.0,44,2,appartement
314700.0,45,2,appartement
500000.0,118,6,maison
100600.0,30,1,maison
154500.0,56,3,appartement
316000.0,48,2,maison
457500.0,125,5,maison
166000.0,56,3,appartement
315000.0,63,3,appartement
253000.0,51,3,appartement
640000.0,116,4,maison
310000.0,41,2,appartement
155000.0,63,3,appartement
320000.0,41,2,appartement
42000.0,18,1,appartement
237000.0,82,4,maison
405000.0,60,4,appartement
830000.0,74,4,maison
251000.0,44,3,appartement
406530.0,50,3,appartement
180000.0,75,3,appartement
32000.0,10,1,appartement
1680000.0,239,6,maison
225000.0,86,4,maison
327500.0,160,6,maison
900000.0,83,4,maison
282000.0,100,6,maison
184000.0,47,2,appartement
164300.0,26,2,appartement
315000.0,107,5,appartement
215000.0,35,2,appartement
272500.0,53,3,appartement
119000.0,18,1,appartement
390000.0,132,6,maison
335000.0,47,2,appartement
268000.0,37,3,maison
88000.0,17,1,appartement
155000.0,52,3,maison
250000.0,76,4,maison
127000.0,56,2,appartement
230000.0,66,4,maison
295000.0,120,5,maison
145000.0,62,3,appartement
221000.0,75,4,maison
85000.0,32,1,appartement
208000.0,66,3,maison
469500.0,180,5,maison
164000.0,60,4,appartement
265000.0,88,4,maison
327000.0,89,4,maison
257000.0,72,4,maison
445000.0,123,5,maison
314000.0,90,4,maison
757830.0,146,6,maison
337000.0,66,3,appartement
360000.0,52,3,maison
123838.0,43,2,appartement
135814.0,11,2,appartement
636500.0,70,3,maison
721000.0,131,5,maison
368000.0,116,3,maison
120000.0,50,1,appartement
332000.0,85,3,maison
268859.0,107,4,maison
130000.0,25,1,appartement
60000.0,21,1,appartement
525000.0,144,5,maison
228000.0,55,3,maison
280000.0,85,5,maison
125000.0,55,3,appartement
138000.0,31,2,appartement
92800.0,14,1,appartement
120000.0,25,1,appartement
142000.0,71,4,appartement
280000.0,49,3,maison
180000.0,68,3,appartement
422000.0,82,5,maison
268000.0,52,3,appartement
196600.0,42,2,appartement
806000.0,197,7,maison
235000.0,48,3,appartement
220000.0,86,4,appartement
208000.0,90,5,maison
263000.0,60,3,appartement
360000.0,139,6,maison
200000.0,47,2,appartement
238000.0,63,2,appartement
460000.0,149,4,maison
823200.0,110,6,maison
450000.0,73,5,maison
220000.0,41,3,maison
129500.0,42,2,appartement
262500.0,55,2,appartement
640000.0,67,4,maison
480000.0,75,2,maison
400000.0,135,6,maison
104000.0,42,3,appartement
470000.0,60,4,appartement
44500.0,16,1,appartement
172000.0,37,2,appartement
138000.0,42,2,appartement
231450.0,100,4,maison
87000.0,25,1,appartement
365000.0,84,5,maison
135000.0,51,2,maison
380000.0,73,4,appartement
115000.0,32,2,appartement
238000.0,81,4,maison
590000.0,203,7,maison
163000.0,18,1,appartement
125877.0,43,2,appartement
122600.0,21,1,appartement
155000.0,28,1,appartement
683000.0,149,6,maison
607800.0,70,4,appartement
330000.0,72,4,maison
195000.0,76,4,appartement
244000.0,120,5,maison
120000.0,42,3,appartement
355000.0,98,3,maison
180000.0,50,3,appartement
845000.0,161,6,maison
232000.0,55,3,appartement
510000.0,24,2,maison
570000.0,150,5,maison
385000.0,160,5,maison
120000.0,24,2,appartement
71400.0,33,2,appartement
112000.0,27,1,appartement
317000.0,30,1,maison
234000.0,97,5,maison
118000.0,37,2,maison
360000.0,78,3,appartement
280000.0,112,6,maison
283000.0,97,5,maison
275000.0,126,6,maison
310500.0,100,5,maison
335300.0,101,4,maison
131000.0,31,2,appartement
78700.0,25,1,appartement
290000.0,82,4,appartement
194000.0,85,4,appartement
230000.0,60,3,maison
388000.0,78,4,appartement
403500.0,101,5,maison
149500.0,68,4,appartement
290000.0,89,5,maison
292000.0,130,4,maison
224000.0,79,4,maison
137000.0,49,2,appartement
310000.0,51,3,maison
160000.0,48,2,appartement
79000.0,30,2,appartement
109500.0,40,2,appartement
215000.0,58,4,maison
292000.0,120,4,maison
250000.0,102,5,maison
297500.0,21,1,appartement
144000.0,38,2,appartement
353000.0,47,3,maison
297000.0,68,3,maison
470000.0,110,6,maison
215000.0,90,3,maison
265000.0,79,6,maison
265000.0,80,5,maison
163800.0,45,2,appartement
190800.0,48,3,maison
320000.0,92,5,maison
275000.0,97,5,maison
119400.0,21,1,appartement
506740.0,60,2,appartement
222500.0,74,4,maison
322724.99999999994,40,2,appartement
225000.0,32,2,appartement
276000.0,43,3,appartement
126000.0,24,1,appartement
425400.0,65,4,appartement
250000.0,95,3,appartement
330390.0,45,3,appartement
127000.0,42,2,appartement
255000.0,83,3,maison
655000.0,75,2,appartement
310000.0,72,4,maison
209000.0,55,3,appartement
370000.0,64,3,maison
252000.0,72,4,appartement
276860.0,117,5,maison
105000.0,27,1,appartement
46000.0,22,2,appartement
184430.0,31,3,appartement
291000.0,135,5,appartement
261500.0,110,5,maison
192000.0,42,2,appartement
700000.0,63,3,appartement
264421.0,74,4,appartement
205000.0,66,4,appartement
255000.0,61,2,maison
169000.0,27,2,appartement
283000.0,83,4,appartement
225000.0,40,2,appartement
319290.0,75,4,maison
260000.0,75,4,maison
400000.0,50,2,maison
95000.0,17,1,appartement
145000.0,42,2,appartement
661200.0,89,4,maison
235000.0,42,3,appartement
59900.0,28,2,appartement
233750.0,49,2,appartement
158000.0,62,4,appartement
180500.0,27,1,appartement
333500.0,81,3,appartement
229000.0,80,3,maison
277500.0,34,2,appartement
528000.0,67,3,maison
300000.0,90,4,maison
65000.0,21,1,appartement
545000.0,48,3,maison
430000.0,50,2,appartement
475000.0,49,3,appartement
153073.0,56,3,appartement
316300.0,61,2,maison
306000.0,50,2,appartement
313930.0,93,6,maison
169530.0,45,2,appartement
123445.0,19,1,appartement
194500.0,53,2,appartement
380000.0,100,4,maison
347970.0,55,3,maison
230000.0,27,1,appartement
353040.99999999994,59,2,appartement
357152.99999999994,94,4,maison
380000.0,138,8,maison
137000.0,34,1,appartement
315000.0,88,4,maison
87000.0,16,1,appartement
130000.0,29,1,appartement
126500.0,45,2,appartement
231500.0,69,4,appartement
230000.0,70,4,maison
145000.0,30,1,appartement
148710.0,58,3,appartement
159000.0,44,2,appartement
440000.0,55,2,appartement
135000.0,42,2,maison
340000.0,100,4,maison
240000.0,92,5,maison
356000.0,126,5,maison
650000.0,53,3,maison
367000.0,65,4,appartement
300000.0,78,3,appartement
254000.0,80,3,maison
410000.0,120,5,maison
220000.0,60,3,maison
200000.0,76,3,maison
185000.0,72,4,maison
155000.0,35,2,appartement
290000.0,52,3,appartement
269000.0,106,5,maison
213000.0,72,4,maison
125000.0,51,3,appartement
217000.0,53,2,appartement
195000.0,71,4,appartement
265000.0,98,5,maison
515000.0,138,6,maison
230000.0,59,2,appartement
122000.0,47,2,appartement
139120.0,32,2,appartement
255600.0,105,6,maison
620000.0,144,5,maison
180000.0,40,3,maison
380000.0,65,3,appartement
254000.0,61,3,appartement
167000.0,21,1,appartement
220000.0,92,3,appartement
240000.0,90,4,maison
133000.0,50,3,appartement
376000.0,89,5,maison
220000.0,67,4,appartement
253000.0,50,2,appartement
227000.0,66,4,maison
200000.0,23,1,appartement
51200.0,20,1,appartement
655000.0,64,4,appartement
342500.0,53,3,appartement
330000.0,65,5,maison
301500.0,97,5,maison
198000.0,70,4,appartement
172650.0,23,1,appartement
573400.0,80,2,maison
480000.0,127,6,maison
227000.0,90,5,maison
150000.0,54,3,appartement
250000.0,65,3,appartement
382000.0,93,5,appartement
278000.0,107,6,maison
140000.0,54,2,appartement
630500.0,80,4,appartement
60000.0,14,2,appartement
273000.0,46,2,appartement
219000.0,94,5,appartement
140000.0,50,3,appartement
105000.0,31,2,appartement
276970.0,74,4,maison
255000.0,115,5,maison
365000.0,150,6,maison
200000.0,21,1,appartement
137000.0,37,3,appartement
375000.0,70,5,maison
276000.0,80,5,maison
238000.0,48,3,maison
215000.0,42,3,maison
152000.0,68,4,appartement
330000.0,102,4,appartement
308000.0,84,3,maison
227000.0,94,6,maison
100000.0,22,1,appartement
344000.0,82,5,appartement
310500.0,55,3,appartement
215000.0,73,4,appartement
202000.0,86,4,appartement
262500.0,115,4,maison
120000.0,55,3,appartement
350000.0,116,6,maison
117000.0,46,3,appartement
175900.0,34,2,appartement
265000.0,16,1,appartement
212350.0,33,2,appartement
187500.0,18,1,appartement
1069500.0,281,8,maison
80000.0,11,1,appartement
488000.0,125,4,maison
300000.0,78,4,appartement
351200.0,76,3,appartement
220000.0,57,3,appartement
730000.0,72,4,maison
51500.0,18,1,appartement
210000.0,54,3,maison
200000.0,54,4,maison
240000.0,104,4,maison
109000.0,29,2,appartement
170000.0,30,2,appartement
295000.0,96,4,maison
260000.0,89,5,maison
279575.0,69,3,appartement
110000.0,26,1,appartement
420000.0,73,3,maison
114500.0,41,2,appartement
515750.0,55,4,maison
397000.0,83,4,maison
175000.0,50,3,maison
300000.0,68,3,maison
173000.0,76,4,maison
125000.0,21,1,appartement
160000.0,45,2,appartement
285000.0,55,3,appartement
295000.0,75,4,maison
453000.0,182,7,maison
360000.0,69,4,maison
230000.0,61,3,appartement
375000.0,100,4,appartement
50000.0,20,1,appartement
243160.0,88,5,maison
457050.0,117,6,maison
130000.0,25,1,appartement
181000.0,55,3,appartement
303050.0,88,5,appartement
288000.0,85,3,maison
217000.0,55,3,appartement
120000.0,14,1,appartement
299000.0,94,4,maison
224000.0,44,2,appartement
190000.0,37,1,appartement
281000.0,95,5,maison
150000.0,51,3,appartement
88000.0,22,1,appartement
210000.0,75,4,maison
240000.0,66,4,appartement
165000.0,57,3,appartement
141000.0,61,3,appartement
360000.0,104,3,maison
305000.0,90,4,maison
303000.0,124,6,maison
186000.0,81,5,maison
215000.0,60,4,appartement
250000.0,86,4,maison
331000.0,98,5,maison
451200.0,168,6,maison
190000.0,88,5,maison
724900.0,170,6,maison
200000.0,77,4,maison
335000.0,63,3,appartement
292000.0,105,5,maison
80000.0,38,2,appartement
140000.0,45,3,appartement
303000.0,57,4,appartement
373012.0,145,5,maison
232400.0,80,5,maison
207000.0,95,4,maison
417000.0,126,5,maison
137000.0,55,2,appartement
258000.0,103,4,maison
432500.0,86,4,maison
140000.0,56,2,appartement
415000.0,89,5,maison
350600.0,106,5,maison
425000.0,111,4,maison
203000.0,48,2,appartement
227000.0,87,4,maison
43000.0,20,2,appartement
278000.0,64,3,appartement
197000.0,60,4,maison
290000.0,100,5,maison
320000.0,100,3,maison
295000.0,45,2,appartement
235000.0,68,3,maison
500000.0,69,3,maison
232000.0,99,6,maison
123000.0,22,1,appartement
157000.0,27,2,appartement
135000.0,45,2,appartement
525000.0,58,3,appartement
372000.0,53,3,appartement
850000.0,111,5,maison
995600.0,143,6,maison
362200.0,45,2,appartement
251000.0,51,2,appartement
615300.0,81,4,appartement
268000.0,45,3,appartement
95000.0,36,2,appartement
229005.0,38,2,appartement
798000.0,98,5,maison
165000.0,40,2,appartement
984500.0,127,6,maison
242500.0,60,3,maison
212000.0,39,2,appartement
222000.0,72,3,maison
522000.0,75,3,maison
286000.0,38,2,appartement
280000.0,64,3,appartement
284000.0,100,5,maison
310000.0,74,4,maison
237000.0,77,3,maison
250000.0,89,5,maison
190000.0,37,2,appartement
253200.0,55,3,appartement
608000.0,141,7,maison
470000.0,141,4,maison
267000.0,89,4,maison
54000.0,16,1,appartement
412000.0,106,5,maison
120600.0,19,1,appartement
345000.0,98,5,maison
80000.0,38,2,appartement
375000.0,111,5,maison
297000.0,134,6,maison
950350.0,130,4,appartement
630000.0,82,3,appartement
299000.0,121,6,maison
895000.0,150,7,maison
350000.0,115,4,appartement
215000.0,70,3,maison
210000.0,56,3,maison
195000.0,70,4,maison
260000.0,60,4,maison
197360.0,30,2,appartement
365000.0,150,6,maison
304300.0,116,6,maison
300000.0,100,5,maison
295000.0,40,1,maison
108000.0,32,1,appartement
286500.0,72,5,maison
315000.0,150,6,maison
156000.0,43,2,maison
327000.0,82,5,maison
635000.0,154,6,maison
135000.0,64,3,appartement
270000.0,107,4,maison
323000.0,107,6,maison
924150.0,118,4,appartement
179820.0,50,3,maison
200000.0,74,4,maison
517000.0,127,5,maison
247500.0,82,5,maison
209000.0,71,5,maison
249000.0,80,5,maison
129700.0,62,4,appartement
285000.0,65,4,maison
360000.0,93,5,maison
100000.0,39,2,appartement
78000.0,20,1,appartement
530000.0,68,2,appartement
275000.0,89,4,maison
480000.0,140,5,maison
475000.0,131,5,maison
885000.0,108,6,appartement
570000.0,160,4,maison
236000.0,76,4,maison
400000.0,110,5,maison
190000.0,20,1,appartement
110800.0,19,1,appartement
320000.0,150,5,maison
246000.0,90,6,maison
235000.0,46,3,maison
264000.0,89,5,maison
133900.0,45,2,appartement
215000.0,84,3,maison
219000.0,49,3,maison
204000.0,71,4,maison
85000.0,18,1,appartement
65000.0,31,1,appartement
244000.0,83,3,maison
242000.0,80,3,maison
311630.0,64,4,maison
106000.0,41,3,appartement
329000.0,92,4,maison
242000.0,47,3,maison
177000.0,66,4,appartement
155000.0,36,3,appartement
141000.0,37,2,maison
210000.0,86,4,maison
235000.0,91,4,maison
226400.0,60,3,maison
